epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
0.0000,0.9559,0.1230,0.2718,0.2754,0.1574,0.9415,0.1454,0.2580,0.2737,0.1587,0.1587,0.2604,0.2487,0.7637,0.6052,0.0860,0.2258,0.2627,0.1180,0.1180,0.5390,0.5255,0.8183
1.0000,1.0884,0.1091,0.2000,0.5457,0.1412,1.1647,0.1070,0.2000,0.5351,0.1394,0.1587,nan,nan,0.7918,0.8125,0.1185,0.2006,0.5351,0.1472,0.1472,0.5873,0.5684,0.8047
2.0000,1.0207,0.1957,0.2102,0.2938,0.1100,1.0371,0.1816,0.2023,0.2682,0.0956,0.1587,0.1500,0.1469,0.7555,0.8505,0.1086,0.2678,0.2710,0.1516,0.1516,0.5156,0.5002,0.8178
3.0000,0.9166,0.1761,0.2316,0.5654,0.1888,0.9341,0.1533,0.2282,0.5502,0.1792,0.1792,0.5728,0.5538,0.8002,0.8636,0.2087,0.2330,0.5708,0.2015,0.2015,0.4670,0.4560,0.8011
4.0000,0.8413,0.4020,0.3434,0.5866,0.2900,0.8296,0.3208,0.3116,0.5832,0.2715,0.2715,0.7145,0.6925,0.8009,0.8689,0.4246,0.3373,0.3741,0.2858,0.2858,0.5099,0.4989,0.7006
5.0000,0.8205,0.5164,0.4488,0.6897,0.4589,0.7937,0.4089,0.3787,0.6520,0.3838,0.3838,0.6146,0.5962,0.7849,0.8741,0.5177,0.4943,0.6616,0.5044,0.5044,0.4510,0.4320,0.7161
6.0000,0.8240,0.4596,0.3811,0.6445,0.3528,0.8244,0.4588,0.3708,0.6300,0.3053,0.3838,0.5060,0.4858,0.8034,0.8831,0.5264,0.5079,0.6602,0.5003,0.5044,0.5379,0.5155,0.7473
7.0000,0.8301,0.5063,0.4587,0.7034,0.4735,0.7920,0.4595,0.4130,0.6781,0.4227,0.4227,0.5418,0.5270,0.7675,0.8871,0.4943,0.4630,0.5337,0.4363,0.5044,0.4718,0.4557,0.6523
8.0000,0.8347,0.5322,0.5098,0.7293,0.5127,0.8143,0.5150,0.4926,0.7125,0.4942,0.4942,0.5906,0.5654,0.7867,0.8982,0.4679,0.4010,0.6589,0.4149,0.5044,0.5409,0.5187,0.8097
9.0000,0.8072,0.5370,0.5379,0.7269,0.5361,0.7795,0.5269,0.5292,0.7235,0.5257,0.5257,0.4273,0.4125,0.7748,0.9043,0.5574,0.5611,0.6946,0.5542,0.5542,0.3582,0.3478,0.7116
10.0000,0.7874,0.5493,0.5257,0.7505,0.5332,0.7793,0.5398,0.5152,0.7400,0.5192,0.5257,0.6120,0.5867,0.8056,0.9042,0.5442,0.5050,0.7290,0.5171,0.5542,0.5591,0.5388,0.7849
11.0000,0.7914,0.5398,0.5880,0.7382,0.5580,0.7871,0.5517,0.5817,0.7235,0.5612,0.5612,0.4340,0.4195,0.7531,0.9036,0.5508,0.5940,0.6960,0.5678,0.5678,0.4748,0.4594,0.7243
12.0000,0.7792,0.6705,0.5936,0.7806,0.6084,0.7836,0.5501,0.5489,0.7510,0.5465,0.5612,0.5291,0.5102,0.7910,0.9070,0.5145,0.5227,0.6396,0.5026,0.5678,0.3531,0.3445,0.6772
13.0000,0.7785,0.6669,0.5999,0.7844,0.6059,0.7743,0.5770,0.5641,0.7717,0.5642,0.5642,0.5860,0.5625,0.8196,0.9083,0.5555,0.5420,0.7607,0.5448,0.5678,0.4707,0.4528,0.7946
14.0000,0.8256,0.7626,0.5357,0.7241,0.5584,0.8196,0.5050,0.4594,0.6919,0.4617,0.5642,0.5745,0.5495,0.8118,0.9049,0.4151,0.3700,0.6355,0.3752,0.5678,0.5684,0.5438,0.8120
15.0000,0.7944,0.6931,0.5963,0.7806,0.6232,0.7771,0.6087,0.5222,0.7428,0.5417,0.5642,0.6004,0.5772,0.8170,0.9060,0.5249,0.4962,0.7345,0.5066,0.5678,0.5537,0.5350,0.8041
16.0000,0.7758,0.7132,0.6533,0.7928,0.6604,0.7779,0.5484,0.5582,0.7428,0.5494,0.5642,0.4896,0.4734,0.7746,0.9058,0.5738,0.5920,0.7263,0.5820,0.5820,0.4893,0.4728,0.7312
17.0000,0.7839,0.7582,0.6995,0.8154,0.7246,0.7721,0.6776,0.5680,0.7497,0.5900,0.5900,0.4973,0.4802,0.7809,0.9077,0.5424,0.5661,0.7359,0.5505,0.5820,0.5083,0.4946,0.7568
18.0000,0.7675,0.7622,0.6752,0.8070,0.7019,0.7873,0.6980,0.5634,0.7662,0.5906,0.5906,0.5341,0.5166,0.8196,0.9085,0.5226,0.4791,0.7249,0.4928,0.5820,0.5521,0.5345,0.8065
19.0000,0.7844,0.7876,0.6959,0.8329,0.7253,0.7702,0.6893,0.5729,0.7662,0.5977,0.5977,0.5086,0.4907,0.7914,0.9093,0.5471,0.5408,0.7620,0.5411,0.5820,0.5201,0.5049,0.7890
20.0000,0.7699,0.7821,0.7101,0.8296,0.7349,0.7669,0.6981,0.5803,0.7785,0.6042,0.6042,0.5129,0.4941,0.8174,0.9098,0.5913,0.5664,0.7565,0.5759,0.5820,0.4821,0.4664,0.7634
21.0000,0.7537,0.8261,0.7615,0.8493,0.7863,0.7691,0.6800,0.5663,0.7565,0.5893,0.6042,0.4581,0.4389,0.7875,0.9075,0.5981,0.5782,0.7442,0.5808,0.5820,0.4807,0.4645,0.7456
22.0000,0.7637,0.8390,0.7705,0.8635,0.7941,0.7763,0.7329,0.5659,0.7400,0.5855,0.6042,0.5144,0.4968,0.7662,0.9049,0.5275,0.5155,0.7359,0.5192,0.5820,0.4805,0.4666,0.7583
23.0000,0.7633,0.8499,0.8196,0.8776,0.8336,0.7732,0.6651,0.5575,0.7428,0.5786,0.6042,0.4725,0.4561,0.7581,0.9081,0.5200,0.5282,0.7290,0.5206,0.5820,0.4447,0.4281,0.7402
24.0000,0.7759,0.8161,0.7831,0.8522,0.7797,0.7885,0.7064,0.5706,0.7180,0.5513,0.6042,0.5039,0.4807,0.7568,0.8990,0.5660,0.5842,0.7001,0.5678,0.5820,0.4910,0.4730,0.7110
25.0000,0.7617,0.8421,0.8135,0.8526,0.8201,0.7753,0.6970,0.5585,0.7565,0.5944,0.6042,0.5596,0.5409,0.8062,0.9085,0.5429,0.5090,0.7304,0.5218,0.5820,0.5076,0.4870,0.7667
26.0000,0.7786,0.8461,0.7134,0.8611,0.7516,0.7870,0.7000,0.4871,0.7208,0.5011,0.6042,0.4327,0.4200,0.7675,0.9065,0.4734,0.4348,0.6933,0.4416,0.5820,0.4630,0.4478,0.7312
27.0000,0.7709,0.8850,0.8463,0.8988,0.8619,0.7855,0.6236,0.5319,0.7428,0.5444,0.6042,0.5067,0.4933,0.7755,0.9094,0.5686,0.5384,0.7359,0.5492,0.5820,0.5174,0.5031,0.7710
28.0000,0.7596,0.8942,0.8896,0.9124,0.8896,0.7753,0.7303,0.5946,0.7428,0.6122,0.6122,0.5320,0.5133,0.7609,0.9063,0.5054,0.4940,0.7153,0.4971,0.5820,0.4465,0.4327,0.7383
29.0000,0.7431,0.8969,0.8971,0.9134,0.8936,0.7857,0.7248,0.5799,0.7455,0.5883,0.6122,0.4660,0.4479,0.7643,0.9073,0.5114,0.5361,0.6960,0.5139,0.5820,0.4383,0.4195,0.7301
30.0000,0.7620,0.9049,0.8539,0.9068,0.8743,0.7951,0.6484,0.5259,0.7098,0.5473,0.6122,0.4778,0.4633,0.7374,0.9067,0.4758,0.4253,0.6878,0.4358,0.5820,0.3833,0.3717,0.7353
31.0000,0.7505,0.9054,0.8679,0.9044,0.8771,0.7866,0.7085,0.5242,0.6823,0.5388,0.6122,0.4714,0.4549,0.6991,0.9096,0.5129,0.4935,0.7084,0.4990,0.5820,0.5002,0.4820,0.7191
32.0000,0.7384,0.9282,0.9284,0.9430,0.9280,0.7822,0.6824,0.5884,0.7373,0.6070,0.6122,0.5041,0.4877,0.7462,0.9066,0.5050,0.5028,0.7139,0.5014,0.5820,0.4817,0.4653,0.7226
33.0000,0.7493,0.9337,0.9088,0.9355,0.9203,0.7862,0.6590,0.5492,0.7359,0.5716,0.6122,0.4805,0.4639,0.7617,0.9074,0.5075,0.4864,0.7166,0.4948,0.5820,0.4692,0.4519,0.7630
34.0000,0.7422,0.9334,0.9244,0.9459,0.9280,0.7895,0.6717,0.5697,0.7373,0.5927,0.6122,0.4673,0.4498,0.7602,0.9082,0.5059,0.4963,0.7194,0.4978,0.5820,0.4527,0.4348,0.7443
35.0000,0.7509,0.9485,0.9462,0.9562,0.9473,0.7915,0.6789,0.5721,0.7221,0.5955,0.6122,0.5085,0.4924,0.7181,0.9039,0.5108,0.5007,0.7139,0.5029,0.5820,0.4886,0.4700,0.7316
36.0000,0.7640,0.9412,0.9439,0.9576,0.9424,0.7936,0.6661,0.5695,0.7166,0.5884,0.6122,0.5381,0.5231,0.7211,0.9013,0.4889,0.4841,0.6960,0.4838,0.5820,0.4252,0.4067,0.7071
37.0000,0.7523,0.9507,0.9457,0.9642,0.9481,0.7922,0.6708,0.5693,0.7235,0.5914,0.6122,0.4925,0.4768,0.7434,0.9030,0.4911,0.4816,0.7043,0.4847,0.5820,0.4451,0.4260,0.7325
38.0000,0.7439,0.9598,0.9492,0.9628,0.9542,0.7901,0.6488,0.5670,0.7345,0.5908,0.6122,0.4790,0.4618,0.7505,0.9049,0.4983,0.4775,0.7111,0.4859,0.5820,0.4186,0.4029,0.7585
39.0000,0.7470,0.9602,0.9575,0.9699,0.9588,0.7934,0.6785,0.5733,0.7304,0.5973,0.6122,0.5000,0.4844,0.7452,0.9031,0.4975,0.4877,0.7070,0.4903,0.5820,0.4401,0.4214,0.7389
40.0000,0.7434,0.9598,0.9594,0.9694,0.9596,0.7978,0.6672,0.5629,0.7084,0.5845,0.6122,0.5073,0.4917,0.7140,0.9012,0.5001,0.4868,0.7029,0.4900,0.5820,0.4619,0.4444,0.7239
41.0000,0.7430,0.9618,0.9527,0.9642,0.9569,0.7918,0.6742,0.5632,0.7331,0.5907,0.6122,0.4674,0.4493,0.7533,0.9043,0.5007,0.4798,0.7139,0.4878,0.5820,0.4438,0.4253,0.7658
42.0000,0.7411,0.9608,0.9608,0.9727,0.9608,0.7965,0.6681,0.5684,0.7153,0.5885,0.6122,0.5192,0.5042,0.7127,0.9016,0.4970,0.4900,0.7015,0.4910,0.5820,0.4379,0.4199,0.7178
43.0000,0.7271,0.9652,0.9582,0.9727,0.9616,0.7957,0.6739,0.5602,0.7304,0.5887,0.6122,0.5024,0.4845,0.7428,0.9033,0.4998,0.4754,0.7070,0.4845,0.5820,0.4770,0.4598,0.7512
44.0000,0.7508,0.9647,0.9672,0.9769,0.9659,0.7959,0.6377,0.5676,0.7208,0.5850,0.6122,0.5194,0.5035,0.7146,0.9017,0.4971,0.4877,0.7043,0.4897,0.5820,0.4462,0.4266,0.7219
45.0000,0.7197,0.9662,0.9628,0.9760,0.9644,0.7953,0.6348,0.5576,0.7221,0.5790,0.6122,0.4930,0.4774,0.7346,0.9030,0.4950,0.4757,0.7043,0.4824,0.5820,0.4191,0.4027,0.7439
46.0000,0.7411,0.9677,0.9660,0.9779,0.9668,0.7971,0.6363,0.5594,0.7194,0.5799,0.6122,0.5121,0.4966,0.7234,0.9025,0.5001,0.4797,0.7056,0.4863,0.5820,0.4770,0.4603,0.7389
47.0000,0.7575,0.9681,0.9673,0.9783,0.9677,0.7971,0.6353,0.5609,0.7194,0.5804,0.6122,0.5113,0.4957,0.7234,0.9022,0.4927,0.4773,0.7015,0.4819,0.5820,0.4156,0.3962,0.7348
48.0000,0.7467,0.9675,0.9655,0.9779,0.9664,0.7962,0.6380,0.5612,0.7263,0.5825,0.6122,0.4978,0.4821,0.7378,0.9028,0.4902,0.4719,0.7001,0.4781,0.5820,0.4128,0.3967,0.7396
49.0000,0.7478,0.9684,0.9667,0.9798,0.9675,0.7973,0.6381,0.5624,0.7249,0.5829,0.6122,0.5150,0.4994,0.7331,0.9027,0.4961,0.4773,0.7056,0.4838,0.5820,0.4224,0.4061,0.7411
50.0000,0.7528,0.9677,0.9669,0.9793,0.9673,0.7976,0.6393,0.5640,0.7263,0.5841,0.6122,0.5150,0.4994,0.7290,0.9024,0.4965,0.4790,0.7070,0.4848,0.5820,0.4285,0.4122,0.7402
51.0000,0.7444,0.9688,0.9675,0.9802,0.9681,0.7971,0.6351,0.5591,0.7221,0.5799,0.6122,0.4954,0.4797,0.7290,0.9024,0.4922,0.4719,0.6988,0.4786,0.5820,0.4150,0.3989,0.7342
52.0000,0.7462,0.9706,0.9691,0.9816,0.9698,0.7976,0.6374,0.5624,0.7249,0.5825,0.6122,0.5153,0.4996,0.7267,0.9022,0.4936,0.4746,0.7015,0.4807,0.5820,0.4154,0.3995,0.7338
53.0000,0.7300,0.9702,0.9689,0.9812,0.9696,0.7980,0.6359,0.5614,0.7208,0.5810,0.6122,0.5131,0.4974,0.7237,0.9020,0.4980,0.4815,0.7056,0.4866,0.5820,0.4164,0.3993,0.7348
54.0000,0.7374,0.9710,0.9693,0.9821,0.9701,0.7977,0.6362,0.5607,0.7235,0.5812,0.6122,0.5035,0.4878,0.7252,0.9022,0.4971,0.4784,0.7043,0.4847,0.5820,0.4187,0.4029,0.7374
55.0000,0.7348,0.9706,0.9686,0.9812,0.9696,0.7974,0.6371,0.5602,0.7235,0.5813,0.6122,0.5231,0.5069,0.7252,0.9023,0.4953,0.4762,0.7015,0.4827,0.5820,0.4184,0.4026,0.7363
