epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
0.0000,0.9813,0.1091,0.2000,0.5457,0.1412,0.9879,0.1070,0.2000,0.5351,0.1394,0.1394,nan,nan,0.7918,0.5599,0.0509,0.2000,0.2545,0.0811,0.0811,nan,nan,0.7918
1.0000,1.5215,0.1091,0.2000,0.5457,0.1412,1.6780,0.1070,0.2000,0.5351,0.1394,0.1394,nan,nan,0.7918,0.6796,0.1070,0.2000,0.5351,0.1394,0.1394,nan,nan,0.7918
2.0000,1.4113,0.1810,0.2013,0.5466,0.1450,1.5011,0.2076,0.2027,0.5378,0.1461,0.1461,-0.1000,-0.1052,0.7890,0.7447,0.0215,0.2000,0.1073,0.0388,0.1394,nan,nan,0.7918
3.0000,1.0124,0.1091,0.2000,0.5457,0.1412,1.0559,0.1070,0.2000,0.5351,0.1394,0.1461,nan,nan,0.7918,0.7733,0.1075,0.2000,0.5351,0.1398,0.1398,0.2638,0.2577,0.7882
4.0000,1.0196,0.1091,0.2000,0.5457,0.1412,1.0301,0.1070,0.2000,0.5351,0.1394,0.1461,nan,nan,0.7918,0.7949,0.1261,0.2016,0.5365,0.1462,0.1462,0.4004,0.3879,0.7798
5.0000,1.0155,0.1762,0.2214,0.5636,0.1869,1.0332,0.1779,0.2252,0.5585,0.1891,0.1891,0.0469,0.0461,0.7357,0.8093,0.0509,0.2000,0.2545,0.0811,0.1462,nan,nan,0.7918
6.0000,0.9775,0.1091,0.2000,0.5457,0.1412,0.9944,0.1070,0.2000,0.5351,0.1394,0.1891,nan,nan,0.7918,0.8007,0.0509,0.2000,0.2545,0.0811,0.1462,nan,nan,0.7918
7.0000,0.9685,0.1428,0.2004,0.5461,0.1422,0.9779,0.1072,0.2000,0.5351,0.1396,0.1891,0.0555,0.0555,0.7871,0.7938,0.0509,0.2000,0.2545,0.0811,0.1462,nan,nan,0.7918
8.0000,0.9544,0.1431,0.2022,0.5480,0.1476,0.9661,0.1395,0.2016,0.5365,0.1447,0.1891,0.3154,0.2994,0.7871,0.7973,0.0510,0.2000,0.2545,0.0812,0.1462,0.0555,0.0555,0.7871
9.0000,0.9395,0.1680,0.2021,0.5457,0.1478,0.9543,0.1334,0.2006,0.5351,0.1425,0.1891,0.2503,0.2413,0.7815,0.7947,0.2015,0.2389,0.4677,0.2052,0.2052,0.1743,0.1708,0.5725
10.0000,0.9165,0.2480,0.2603,0.5965,0.2430,0.9230,0.2463,0.2630,0.5873,0.2442,0.2442,0.2526,0.2448,0.7426,0.8230,0.5075,0.2431,0.2696,0.1433,0.2052,0.5059,0.4912,0.7837
11.0000,0.8548,0.3126,0.3251,0.6121,0.3132,0.8468,0.3143,0.3496,0.6314,0.3264,0.3264,0.3282,0.3163,0.7181,0.8543,0.5137,0.3566,0.5433,0.3177,0.3177,0.3884,0.3769,0.6828
12.0000,0.8457,0.4639,0.3859,0.6714,0.4041,0.8151,0.4338,0.3807,0.6575,0.3805,0.3805,0.3628,0.3444,0.7529,0.8578,0.4461,0.4755,0.6561,0.4568,0.4568,0.4747,0.4543,0.7391
13.0000,0.8057,0.3346,0.3393,0.6563,0.3182,0.7864,0.3440,0.3729,0.6534,0.3289,0.3805,0.4483,0.4236,0.7822,0.8765,0.5210,0.5021,0.7180,0.5048,0.5048,0.5222,0.4993,0.7791
14.0000,0.8838,0.4195,0.3104,0.6295,0.3196,0.8831,0.3571,0.2879,0.6107,0.2853,0.3805,0.4692,0.4493,0.7757,0.8768,0.4055,0.2461,0.5722,0.2251,0.5048,0.5504,0.5303,0.8120
15.0000,0.8215,0.5120,0.4473,0.7067,0.4660,0.8102,0.4774,0.4291,0.7015,0.4305,0.4305,0.5174,0.4930,0.7768,0.8991,0.4349,0.3539,0.6547,0.3501,0.5048,0.4888,0.4722,0.7953
16.0000,0.8020,0.5152,0.4889,0.7029,0.4801,0.7774,0.5417,0.5009,0.7194,0.4949,0.4949,0.5386,0.5127,0.8084,0.9054,0.5382,0.5440,0.7318,0.5408,0.5408,0.5027,0.4881,0.7503
17.0000,0.8271,0.5257,0.4642,0.7213,0.4845,0.8023,0.4820,0.4359,0.7139,0.4448,0.4949,0.5299,0.5096,0.7824,0.9065,0.5025,0.4622,0.7015,0.4681,0.5408,0.5489,0.5224,0.8080
18.0000,0.7964,0.5586,0.5526,0.7608,0.5488,0.7736,0.5626,0.5568,0.7648,0.5550,0.5550,0.5458,0.5270,0.7925,0.9117,0.5347,0.5508,0.7290,0.5425,0.5425,0.5273,0.5129,0.7570
19.0000,0.7790,0.6592,0.5420,0.7660,0.5562,0.7786,0.5449,0.5348,0.7552,0.5383,0.5550,0.4876,0.4683,0.7815,0.9106,0.5285,0.4947,0.7318,0.5025,0.5425,0.5949,0.5727,0.7978
20.0000,0.7987,0.5879,0.5000,0.7185,0.5130,0.7727,0.5230,0.4748,0.7056,0.4734,0.5550,0.5302,0.5065,0.8084,0.9071,0.5436,0.5149,0.7304,0.5134,0.5425,0.6010,0.5769,0.7931
