epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
0.0000,1.6155,0.2274,0.2372,0.3658,0.2208,1.7759,0.2224,0.2051,0.3673,0.2062,0.2062,-0.0971,-0.0909,0.3320,0.5075,0.0377,0.1927,0.0963,0.0624,0.0624,0.0608,0.0573,0.4695
1.0000,1.3127,0.2228,0.2060,0.5490,0.1554,1.4803,0.3081,0.2032,0.5365,0.1467,0.2062,-0.2648,-0.2612,0.7776,0.6275,0.1196,0.1985,0.5296,0.1420,0.1420,0.1999,0.1898,0.7566
2.0000,1.1376,0.2617,0.2432,0.5476,0.2191,1.1947,0.1915,0.2417,0.5406,0.2136,0.2136,-0.0798,-0.0754,0.6682,0.7015,0.1975,0.2589,0.2256,0.1673,0.1673,0.0956,0.0926,0.4761
3.0000,1.0162,0.2906,0.2503,0.5560,0.2406,1.0348,0.2751,0.2177,0.5144,0.1978,0.2136,0.1113,0.1060,0.7054,0.7411,0.2799,0.2117,0.4897,0.1956,0.1956,0.1239,0.1200,0.6572
4.0000,0.9272,0.2677,0.2980,0.5678,0.2563,0.9426,0.3382,0.2794,0.5571,0.2649,0.2649,0.0658,0.0622,0.7449,0.7681,0.3539,0.2655,0.3961,0.2339,0.2339,0.1620,0.1586,0.4957
5.0000,0.9143,0.3393,0.3103,0.5890,0.2828,0.9270,0.3597,0.2645,0.5598,0.2547,0.2649,0.2313,0.2263,0.7310,0.7978,0.2968,0.2416,0.4402,0.2222,0.2339,0.0788,0.0745,0.4996
6.0000,0.9141,0.3589,0.2915,0.5975,0.2905,0.9314,0.3758,0.2608,0.5846,0.2486,0.2649,-0.0010,-0.0005,0.7325,0.8145,0.3749,0.2446,0.3398,0.1685,0.2339,0.3315,0.3241,0.6176
7.0000,0.9033,0.2845,0.3114,0.5782,0.2547,0.9352,0.2465,0.2522,0.5571,0.2200,0.2649,0.1359,0.1338,0.7591,0.8347,0.2789,0.2360,0.5158,0.2225,0.2339,0.1555,0.1484,0.6230
8.0000,0.8747,0.4139,0.4364,0.6483,0.4164,0.8672,0.4395,0.4064,0.6204,0.4135,0.4135,0.2325,0.2238,0.7206,0.8607,0.4135,0.3223,0.4484,0.3060,0.3060,0.3265,0.3188,0.5262
9.0000,0.9078,0.3607,0.2845,0.5998,0.2816,0.9582,0.3574,0.2444,0.5667,0.2232,0.4135,0.0181,0.0131,0.7643,0.8504,0.3446,0.2321,0.5571,0.2088,0.3060,0.2825,0.2752,0.7594
