epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
0.0000,1.1478,0.1259,0.1884,0.3653,0.1450,1.1788,0.1231,0.1814,0.3920,0.1433,0.1433,0.0434,0.0411,0.6875,0.5317,0.0741,0.2212,0.1871,0.1079,0.1079,0.0768,0.0714,0.7131
1.0000,1.6058,0.1091,0.2000,0.5457,0.1412,1.8440,0.1070,0.2000,0.5351,0.1394,0.1433,nan,nan,0.7918,0.7566,0.1070,0.2000,0.5351,0.1394,0.1394,nan,nan,0.7918
2.0000,1.3298,0.1092,0.2000,0.5457,0.1413,1.4164,0.1070,0.2000,0.5351,0.1394,0.1433,nan,nan,0.7918,0.8077,0.0215,0.2000,0.1073,0.0388,0.1394,nan,nan,0.7918
3.0000,0.9499,0.1091,0.2000,0.5457,0.1412,0.9687,0.1070,0.2000,0.5351,0.1394,0.1433,nan,nan,0.7918,0.8295,0.0509,0.2000,0.2545,0.0811,0.1394,nan,nan,0.7918
4.0000,1.0329,0.1091,0.2000,0.5457,0.1412,1.0662,0.1070,0.2000,0.5351,0.1394,0.1433,nan,nan,0.7918,0.8448,0.1085,0.2000,0.5351,0.1407,0.1407,-0.1262,-0.1262,0.7660
5.0000,0.9647,0.1348,0.2036,0.5504,0.1517,0.9705,0.1183,0.2011,0.5365,0.1466,0.1466,0.5818,0.5526,0.7998,0.8527,0.0652,0.2051,0.2572,0.0914,0.1407,0.5393,0.5111,0.7996
6.0000,0.9102,0.1508,0.2087,0.5570,0.1614,0.8893,0.1299,0.2043,0.5406,0.1554,0.1554,nan,nan,0.7918,0.8552,0.0509,0.2000,0.2545,0.0811,0.1407,nan,nan,0.7918
7.0000,0.8437,0.3205,0.3256,0.6573,0.3154,0.8233,0.2774,0.3116,0.6052,0.2907,0.2907,0.3375,0.3378,0.7895,0.8727,0.2979,0.3303,0.6107,0.3116,0.3116,-0.3077,-0.2992,0.7787
8.0000,0.8298,0.3758,0.3641,0.6224,0.3293,0.7978,0.3007,0.3441,0.6066,0.3116,0.3116,0.2857,0.2857,0.7923,0.8608,0.4233,0.4252,0.6534,0.4220,0.4220,0.3416,0.3286,0.7729
9.0000,0.8405,0.4951,0.4317,0.7095,0.4524,0.8485,0.2966,0.3292,0.6190,0.3111,0.3116,0.3389,0.3285,0.7925,0.8568,0.4313,0.4739,0.6094,0.4285,0.4285,0.4556,0.4401,0.7692
10.0000,0.8200,0.4829,0.3961,0.6798,0.4132,0.7988,0.2918,0.3246,0.6217,0.2987,0.3116,0.4488,0.4429,0.7976,0.8587,0.4443,0.4266,0.6437,0.4306,0.4306,0.8075,0.7869,0.7935
