epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
0.0000,1.1466,0.1091,0.2000,0.5457,0.1412,1.2202,0.1070,0.2000,0.5351,0.1394,0.1394,nan,nan,0.7918,0.7984,0.1070,0.2000,0.5351,0.1394,0.1394,nan,nan,0.7918
1.0000,1.2369,0.1091,0.2000,0.5457,0.1412,1.3765,0.1070,0.2000,0.5351,0.1394,0.1394,nan,nan,0.7918,0.8132,0.1070,0.2000,0.5351,0.1394,0.1394,nan,nan,0.7918
2.0000,1.0946,0.1091,0.2000,0.5457,0.1412,1.1345,0.1070,0.2000,0.5351,0.1394,0.1394,nan,nan,0.7918,0.8123,0.0979,0.2108,0.2531,0.1088,0.1394,0.0305,0.0305,0.7708
3.0000,0.9797,0.1091,0.2000,0.5457,0.1412,1.0234,0.1070,0.2000,0.5351,0.1394,0.1394,nan,nan,0.7918,0.8360,0.1421,0.2097,0.5475,0.1648,0.1648,nan,nan,0.7905
4.0000,0.9748,0.1091,0.2000,0.5457,0.1412,0.9898,0.1070,0.2000,0.5351,0.1394,0.1394,nan,nan,0.7918,0.8344,0.0509,0.2000,0.2545,0.0811,0.1648,nan,nan,0.7918
5.0000,0.9085,0.1438,0.2060,0.5494,0.1535,0.9141,0.1073,0.2000,0.5351,0.1397,0.1397,nan,nan,0.7918,0.8370,0.0895,0.2194,0.2641,0.1109,0.1648,nan,nan,0.7918
6.0000,0.9376,0.3714,0.3170,0.6436,0.3027,0.9693,0.2104,0.2652,0.5928,0.2345,0.2345,nan,nan,0.7918,0.8486,0.4504,0.3986,0.6492,0.4091,0.4091,0.5496,0.5315,0.7931
7.0000,0.8065,0.2116,0.3198,0.6182,0.2546,0.8213,0.2135,0.3769,0.6135,0.2660,0.2660,nan,nan,0.7918,0.8480,0.3625,0.3873,0.6630,0.3618,0.4091,0.4675,0.4478,0.7806
8.0000,0.8179,0.3261,0.3071,0.6540,0.2914,0.8267,0.2000,0.2532,0.5818,0.2235,0.2660,nan,nan,0.7918,0.8502,0.2809,0.3142,0.6066,0.2923,0.4091,nan,nan,0.7918
9.0000,0.8162,0.5000,0.5103,0.7185,0.5023,0.7964,0.5494,0.5484,0.7400,0.5390,0.5390,0.3357,0.3253,0.7946,0.8960,0.5454,0.5764,0.7510,0.5568,0.5568,0.6984,0.6785,0.7976
10.0000,0.8185,0.4242,0.4520,0.6916,0.4091,0.8203,0.5050,0.4920,0.6878,0.4823,0.5390,0.6375,0.6094,0.8041,0.8774,0.5475,0.5511,0.7125,0.5434,0.5568,0.5406,0.5262,0.7983
11.0000,0.8130,0.4705,0.4194,0.6728,0.4021,0.8071,0.3698,0.4665,0.6630,0.3943,0.5390,nan,nan,0.7916,0.8840,0.5336,0.5511,0.6891,0.5220,0.5568,nan,nan,0.7918
12.0000,0.8990,0.4951,0.5265,0.7218,0.5052,0.9395,0.5419,0.5650,0.7235,0.5363,0.5390,0.3837,0.3776,0.7991,0.8894,0.3161,0.3305,0.4856,0.3033,0.5568,0.9466,0.9263,0.8056
13.0000,0.8066,0.5422,0.5364,0.7613,0.5130,0.7890,0.5154,0.4973,0.7111,0.4821,0.5390,0.5039,0.4871,0.7946,0.8969,0.5422,0.5517,0.7249,0.5307,0.5568,0.5531,0.5377,0.7946
14.0000,0.8188,0.5371,0.4962,0.7571,0.5114,0.8242,0.5895,0.4593,0.7166,0.4167,0.5390,0.7289,0.7030,0.8200,0.8996,0.4778,0.4134,0.6754,0.4290,0.5568,0.6206,0.5965,0.7925
15.0000,0.7987,0.5430,0.5288,0.7476,0.5193,0.7799,0.5343,0.5137,0.7208,0.5135,0.5390,0.6189,0.5967,0.8305,0.8992,0.5967,0.5938,0.7703,0.5896,0.5896,0.7247,0.7051,0.8058
16.0000,0.8325,0.5168,0.4491,0.7269,0.4709,0.8460,0.5163,0.3629,0.6410,0.3389,0.5390,0.7516,0.7269,0.8125,0.8797,0.2810,0.3048,0.6272,0.2874,0.5896,0.6394,0.6183,0.8054
17.0000,0.7879,0.5303,0.5356,0.7589,0.5207,0.7933,0.4824,0.4791,0.6864,0.4732,0.5390,0.5321,0.5192,0.7978,0.8996,0.4716,0.4485,0.6781,0.4508,0.5896,0.5934,0.5775,0.7839
18.0000,0.7905,0.5356,0.5600,0.7651,0.5467,0.7965,0.5229,0.5707,0.7400,0.5428,0.5428,0.2810,0.2665,0.7953,0.9003,0.5093,0.5716,0.7111,0.5333,0.5896,0.6054,0.5838,0.8026
19.0000,0.8086,0.5376,0.5752,0.7604,0.5448,0.7965,0.5204,0.5571,0.7249,0.5338,0.5428,0.4400,0.4243,0.7959,0.8979,0.4969,0.5557,0.6754,0.5150,0.5896,0.4594,0.4405,0.7888
20.0000,0.7783,0.5572,0.5584,0.7844,0.5559,0.7785,0.5437,0.5697,0.7689,0.5525,0.5525,0.4885,0.4722,0.7940,0.9032,0.5326,0.5489,0.7607,0.5378,0.5896,0.5430,0.5217,0.8037
21.0000,0.7654,0.5588,0.5346,0.7782,0.5379,0.7796,0.5201,0.5176,0.7442,0.5138,0.5525,0.5354,0.5181,0.8178,0.9046,0.5508,0.5722,0.7675,0.5607,0.5896,0.5685,0.5461,0.8114
22.0000,0.7802,0.5761,0.5819,0.7938,0.5720,0.7764,0.5444,0.5619,0.7662,0.5525,0.5525,0.5888,0.5693,0.8056,0.9045,0.5365,0.5464,0.7579,0.5410,0.5896,0.4970,0.4787,0.8000
23.0000,0.7764,0.5662,0.5554,0.7877,0.5579,0.7957,0.5102,0.5093,0.7387,0.5081,0.5525,0.4383,0.4237,0.8024,0.8965,0.5500,0.5594,0.7538,0.5408,0.5896,0.4253,0.4133,0.8082
24.0000,0.7765,0.5776,0.5723,0.7990,0.5740,0.7871,0.5347,0.5574,0.7579,0.5454,0.5525,0.5520,0.5310,0.8108,0.9039,0.5419,0.5672,0.7662,0.5536,0.5896,0.6395,0.6174,0.8097
25.0000,0.7689,0.5779,0.5973,0.8098,0.5849,0.7854,0.5423,0.5658,0.7689,0.5534,0.5534,0.7498,0.7214,0.8209,0.9044,0.5314,0.5561,0.7538,0.5426,0.5896,0.8044,0.7764,0.8090
26.0000,0.7497,0.5900,0.6139,0.8187,0.5996,0.7890,0.5321,0.5576,0.7565,0.5438,0.5534,0.5095,0.4895,0.8086,0.9137,0.5286,0.5713,0.7483,0.5458,0.5896,0.3801,0.3642,0.8049
27.0000,0.7626,0.5934,0.5917,0.8140,0.5877,0.7842,0.5326,0.5552,0.7552,0.5424,0.5534,0.5354,0.5188,0.8157,0.9141,0.5513,0.5596,0.7689,0.5530,0.5896,0.6166,0.5947,0.8280
28.0000,0.7571,0.5967,0.6056,0.8216,0.5977,0.7790,0.5373,0.5495,0.7675,0.5429,0.5534,0.5549,0.5366,0.8191,0.9164,0.5422,0.5643,0.7648,0.5523,0.5896,0.5226,0.5027,0.8153
29.0000,0.7856,0.6067,0.6095,0.8286,0.6061,0.7817,0.5383,0.5492,0.7565,0.5435,0.5534,0.5598,0.5381,0.8170,0.9146,0.5347,0.5484,0.7579,0.5414,0.5896,0.5615,0.5404,0.8183
30.0000,0.7666,0.6550,0.6246,0.8258,0.6232,0.7832,0.5294,0.5541,0.7442,0.5399,0.5534,0.6005,0.5785,0.8114,0.9089,0.5327,0.5672,0.7483,0.5480,0.5896,0.6233,0.6031,0.8112
31.0000,0.7670,0.6057,0.6147,0.8329,0.6075,0.7833,0.5442,0.5608,0.7634,0.5522,0.5534,0.5553,0.5362,0.8142,0.9151,0.5402,0.5575,0.7552,0.5480,0.5896,0.5700,0.5501,0.8174
32.0000,0.7593,0.6058,0.6269,0.8329,0.6148,0.7827,0.5290,0.5523,0.7455,0.5388,0.5534,0.6024,0.5819,0.8105,0.9127,0.5345,0.5639,0.7497,0.5473,0.5896,0.5920,0.5718,0.8110
33.0000,0.7776,0.6987,0.6425,0.8376,0.6583,0.7814,0.5274,0.5434,0.7497,0.5352,0.5534,0.4913,0.4759,0.8125,0.9127,0.5307,0.5515,0.7483,0.5406,0.5896,0.5058,0.4894,0.8112
34.0000,0.7617,0.6096,0.6316,0.8333,0.6170,0.7825,0.5280,0.5539,0.7442,0.5391,0.5534,0.5765,0.5568,0.8101,0.9100,0.5322,0.5639,0.7483,0.5459,0.5896,0.6101,0.5887,0.8123
35.0000,0.7615,0.6136,0.6303,0.8399,0.6184,0.7835,0.5376,0.5583,0.7552,0.5475,0.5534,0.5597,0.5404,0.8131,0.9110,0.5347,0.5586,0.7483,0.5457,0.5896,0.5741,0.5534,0.8144
36.0000,0.7710,0.6181,0.6226,0.8418,0.6184,0.7845,0.5352,0.5509,0.7552,0.5428,0.5534,0.5577,0.5392,0.8146,0.9119,0.5262,0.5338,0.7497,0.5296,0.5896,0.5672,0.5486,0.8157
37.0000,0.7521,0.6179,0.6449,0.8446,0.6302,0.7865,0.5306,0.5588,0.7442,0.5426,0.5534,0.6097,0.5879,0.8058,0.9070,0.5297,0.5616,0.7428,0.5433,0.5896,0.5743,0.5503,0.8062
38.0000,0.7637,0.6135,0.6215,0.8409,0.6143,0.7834,0.5286,0.5432,0.7510,0.5358,0.5534,0.5405,0.5235,0.8161,0.9094,0.5341,0.5526,0.7565,0.5430,0.5896,0.5562,0.5395,0.8140
39.0000,0.7550,0.6250,0.6552,0.8545,0.6372,0.7835,0.5225,0.5449,0.7400,0.5329,0.5534,0.5494,0.5282,0.8054,0.9064,0.5288,0.5562,0.7428,0.5412,0.5896,0.5688,0.5465,0.8082
40.0000,0.7453,0.6252,0.6356,0.8503,0.6275,0.7844,0.5290,0.5496,0.7497,0.5388,0.5534,0.5706,0.5536,0.8088,0.9080,0.5306,0.5496,0.7455,0.5396,0.5896,0.5883,0.5706,0.8114
41.0000,0.7550,0.6246,0.6456,0.8536,0.6341,0.7846,0.5293,0.5526,0.7497,0.5402,0.5534,0.5566,0.5368,0.8067,0.9072,0.5295,0.5582,0.7442,0.5424,0.5896,0.5758,0.5530,0.8092
42.0000,0.7644,0.6806,0.6460,0.8451,0.6545,0.7755,0.5316,0.5522,0.7483,0.5411,0.5534,0.5659,0.5490,0.8077,0.9166,0.7354,0.5719,0.7524,0.5741,0.5896,0.5545,0.5366,0.8077
43.0000,0.7808,0.6920,0.7250,0.8169,0.6872,0.8011,0.6836,0.6777,0.7634,0.6758,0.6758,0.6562,0.6389,0.8284,0.9120,0.6272,0.6628,0.7524,0.6232,0.6232,0.6437,0.6280,0.8174
44.0000,0.7838,0.6532,0.6180,0.8046,0.6327,0.7847,0.5503,0.5559,0.7744,0.5502,0.6758,0.6036,0.5874,0.8357,0.9190,0.5591,0.5526,0.7744,0.5483,0.6232,0.6450,0.6257,0.8267
45.0000,0.7764,0.6762,0.6454,0.8159,0.6584,0.7885,0.5679,0.5831,0.7785,0.5744,0.6758,0.6104,0.5940,0.8327,0.9190,0.5498,0.5681,0.7538,0.5574,0.6232,0.6654,0.6440,0.8284
46.0000,0.7592,0.6846,0.6415,0.8089,0.6593,0.7830,0.5662,0.5778,0.7785,0.5701,0.6758,0.6713,0.6531,0.8348,0.9133,0.5856,0.6183,0.7992,0.5994,0.6232,0.6965,0.6755,0.8366
47.0000,0.7723,0.6983,0.6739,0.8286,0.6837,0.7943,0.5652,0.5927,0.7785,0.5781,0.6758,0.7089,0.6852,0.8385,0.9106,0.5744,0.6187,0.7827,0.5936,0.6232,0.6865,0.6673,0.8391
48.0000,0.7755,0.6974,0.6684,0.8282,0.6803,0.7915,0.5612,0.5854,0.7758,0.5726,0.6758,0.7113,0.6903,0.8374,0.9112,0.5781,0.6165,0.7882,0.5950,0.6232,0.6491,0.6291,0.8353
49.0000,0.7721,0.6978,0.6590,0.8272,0.6752,0.7881,0.5636,0.5850,0.7785,0.5735,0.6758,0.7139,0.6955,0.8424,0.9123,0.5805,0.6181,0.7909,0.5972,0.6232,0.6570,0.6387,0.8376
50.0000,0.7688,0.7002,0.6610,0.8305,0.6772,0.7865,0.5665,0.5856,0.7813,0.5751,0.6758,0.6987,0.6813,0.8434,0.9123,0.5797,0.6170,0.7895,0.5962,0.6232,0.6570,0.6387,0.8381
51.0000,0.7699,0.6994,0.6688,0.8296,0.6813,0.7888,0.5630,0.5850,0.7772,0.5731,0.6758,0.7139,0.6955,0.8400,0.9111,0.5797,0.6176,0.7895,0.5965,0.6232,0.6671,0.6484,0.8387
52.0000,0.7726,0.6999,0.6640,0.8300,0.6785,0.7864,0.5633,0.5821,0.7772,0.5715,0.6758,0.6909,0.6735,0.8391,0.9115,0.5781,0.6150,0.7882,0.5946,0.6232,0.6634,0.6437,0.8368
53.0000,0.7830,0.7009,0.6596,0.8310,0.6767,0.7853,0.5633,0.5821,0.7772,0.5715,0.6758,0.6909,0.6735,0.8391,0.9120,0.5813,0.6172,0.7909,0.5976,0.6232,0.7144,0.6934,0.8372
54.0000,0.7750,0.7046,0.6721,0.8324,0.6848,0.7862,0.5633,0.5821,0.7772,0.5715,0.6758,0.6909,0.6735,0.8391,0.9115,0.5781,0.6150,0.7882,0.5946,0.6232,0.6634,0.6437,0.8368
55.0000,0.7589,0.7056,0.6726,0.8347,0.6854,0.7858,0.5633,0.5821,0.7772,0.5715,0.6758,0.6909,0.6735,0.8391,0.9115,0.5813,0.6172,0.7909,0.5976,0.6232,0.7144,0.6934,0.8372
56.0000,0.7778,0.7060,0.6721,0.8352,0.6854,0.7856,0.5633,0.5821,0.7772,0.5715,0.6758,0.6909,0.6735,0.8391,0.9115,0.5813,0.6172,0.7909,0.5976,0.6232,0.7144,0.6934,0.8372
57.0000,0.7614,0.7059,0.6725,0.8347,0.6857,0.7854,0.5668,0.5872,0.7799,0.5760,0.6758,0.7101,0.6927,0.8434,0.9115,0.5781,0.6150,0.7882,0.5946,0.6232,0.6634,0.6437,0.8368
58.0000,0.7613,0.7066,0.6749,0.8366,0.6873,0.7858,0.5669,0.5878,0.7799,0.5763,0.6758,0.7140,0.6963,0.8434,0.9114,0.5781,0.6150,0.7882,0.5946,0.6232,0.6634,0.6437,0.8368
59.0000,0.7734,0.7042,0.6750,0.8329,0.6861,0.7863,0.5662,0.5872,0.7785,0.5756,0.6758,0.7101,0.6925,0.8415,0.9114,0.5781,0.6150,0.7882,0.5946,0.6232,0.6634,0.6437,0.8368
60.0000,0.7500,0.7056,0.6757,0.8352,0.6872,0.7860,0.5662,0.5872,0.7785,0.5756,0.6758,0.7101,0.6925,0.8415,0.9114,0.5781,0.6150,0.7882,0.5946,0.6232,0.6634,0.6437,0.8368
61.0000,0.7793,0.7046,0.6721,0.8333,0.6849,0.7854,0.5662,0.5872,0.7785,0.5756,0.6758,0.7101,0.6925,0.8415,0.9114,0.5797,0.6161,0.7895,0.5961,0.6232,0.6885,0.6676,0.8363
62.0000,0.7779,0.7049,0.6723,0.8338,0.6851,0.7853,0.5662,0.5872,0.7785,0.5756,0.6758,0.7101,0.6925,0.8415,0.9114,0.5797,0.6161,0.7895,0.5961,0.6232,0.6885,0.6676,0.8363
63.0000,0.7775,0.7046,0.6721,0.8333,0.6849,0.7854,0.5643,0.5862,0.7772,0.5742,0.6758,0.6986,0.6810,0.8396,0.9114,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
64.0000,0.7718,0.7038,0.6718,0.8329,0.6844,0.7855,0.5616,0.5846,0.7744,0.5721,0.6758,0.7102,0.6917,0.8366,0.9114,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
65.0000,0.7598,0.7046,0.6721,0.8333,0.6849,0.7853,0.5655,0.5867,0.7772,0.5750,0.6758,0.7066,0.6892,0.8400,0.9114,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
66.0000,0.7689,0.7048,0.6727,0.8338,0.6852,0.7856,0.5644,0.5867,0.7772,0.5744,0.6758,0.7040,0.6862,0.8402,0.9113,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
67.0000,0.7571,0.7050,0.6731,0.8343,0.6855,0.7856,0.5644,0.5867,0.7772,0.5744,0.6758,0.7040,0.6862,0.8402,0.9113,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
68.0000,0.7671,0.7041,0.6723,0.8333,0.6848,0.7856,0.5625,0.5856,0.7758,0.5730,0.6758,0.7196,0.7007,0.8387,0.9113,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
69.0000,0.7434,0.7048,0.6727,0.8338,0.6852,0.7856,0.5644,0.5867,0.7772,0.5744,0.6758,0.7040,0.6862,0.8402,0.9113,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
70.0000,0.7658,0.7046,0.6721,0.8333,0.6849,0.7854,0.5663,0.5878,0.7785,0.5759,0.6758,0.7155,0.6977,0.8422,0.9113,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
71.0000,0.7706,0.7046,0.6721,0.8333,0.6849,0.7854,0.5663,0.5878,0.7785,0.5759,0.6758,0.7155,0.6977,0.8422,0.9113,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
72.0000,0.7642,0.7046,0.6721,0.8333,0.6849,0.7853,0.5663,0.5878,0.7785,0.5759,0.6758,0.7155,0.6977,0.8422,0.9113,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
73.0000,0.7883,0.7053,0.6725,0.8338,0.6853,0.7852,0.5663,0.5878,0.7785,0.5759,0.6758,0.7155,0.6977,0.8422,0.9113,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
74.0000,0.7529,0.7053,0.6725,0.8338,0.6853,0.7853,0.5663,0.5878,0.7785,0.5759,0.6758,0.7155,0.6977,0.8422,0.9113,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
75.0000,0.7657,0.7053,0.6725,0.8338,0.6853,0.7853,0.5663,0.5878,0.7785,0.5759,0.6758,0.7155,0.6977,0.8422,0.9113,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
76.0000,0.7691,0.7053,0.6725,0.8338,0.6853,0.7853,0.5663,0.5878,0.7785,0.5759,0.6758,0.7155,0.6977,0.8422,0.9112,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
77.0000,0.7737,0.7053,0.6725,0.8338,0.6853,0.7853,0.5663,0.5878,0.7785,0.5759,0.6758,0.7155,0.6977,0.8422,0.9112,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
78.0000,0.7774,0.7053,0.6725,0.8338,0.6853,0.7853,0.5663,0.5878,0.7785,0.5759,0.6758,0.7155,0.6977,0.8422,0.9112,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
79.0000,0.7664,0.7053,0.6725,0.8338,0.6853,0.7853,0.5663,0.5878,0.7785,0.5759,0.6758,0.7155,0.6977,0.8422,0.9112,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
80.0000,0.7611,0.7103,0.6741,0.8338,0.6879,0.7853,0.5663,0.5878,0.7785,0.5759,0.6758,0.7155,0.6977,0.8422,0.9112,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
81.0000,0.7824,0.7103,0.6741,0.8338,0.6879,0.7853,0.5663,0.5878,0.7785,0.5759,0.6758,0.7155,0.6977,0.8422,0.9112,0.5753,0.6124,0.7868,0.5920,0.6232,0.6634,0.6437,0.8368
