epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
0.0000,1.0407,0.1091,0.2000,0.5457,0.1412,1.0850,0.1070,0.2000,0.5351,0.1394,0.1394,nan,nan,0.7918,0.6976,0.0811,0.2049,0.2531,0.0966,0.0966,0.0269,0.0247,0.7744
1.0000,1.1858,0.1377,0.2070,0.5395,0.1595,1.3285,0.1437,0.2056,0.5337,0.1528,0.1528,0.0789,0.0778,0.7860,0.6842,0.1073,0.2000,0.5351,0.1397,0.1397,0.7722,0.7582,0.7929
2.0000,1.0647,0.2456,0.2858,0.5066,0.2628,1.0961,0.2082,0.2334,0.4856,0.2124,0.2124,0.1018,0.0998,0.7701,0.7009,0.0675,0.1881,0.2091,0.0992,0.1397,0.2319,0.2259,0.7639
3.0000,0.9639,0.1764,0.2099,0.5471,0.1597,1.0268,0.1073,0.2000,0.5351,0.1397,0.2124,0.7722,0.7582,0.7929,0.7372,0.1602,0.2085,0.5213,0.1738,0.1738,0.1873,0.1793,0.7366
4.0000,0.9515,0.2075,0.2268,0.5471,0.1861,0.9849,0.1481,0.2001,0.5337,0.1422,0.2124,0.0348,0.0325,0.7852,0.7364,0.2099,0.2261,0.4924,0.2062,0.2062,0.3155,0.3086,0.6499
5.0000,1.0713,0.2492,0.3218,0.5490,0.2672,1.0911,0.2376,0.2567,0.5323,0.2384,0.2384,0.2551,0.2438,0.7265,0.7379,0.0909,0.2038,0.2283,0.1121,0.2062,0.1224,0.1187,0.7374
6.0000,0.9816,0.1381,0.2010,0.5452,0.1443,1.0194,0.1073,0.2000,0.5351,0.1397,0.2384,0.7722,0.7582,0.7929,0.7387,0.1567,0.2074,0.5199,0.1724,0.2062,0.1781,0.1719,0.7404
7.0000,0.9428,0.2404,0.3070,0.5523,0.2346,0.9668,0.2263,0.2461,0.5420,0.2103,0.2384,0.1781,0.1714,0.7292,0.7431,0.0793,0.2008,0.2517,0.0893,0.2062,0.1217,0.1189,0.7828
8.0000,0.9546,0.2361,0.2267,0.5518,0.2018,0.9608,0.1533,0.2054,0.5282,0.1640,0.2384,0.2003,0.1891,0.7394,0.7391,0.2463,0.2541,0.4498,0.2239,0.2239,0.0660,0.0621,0.6286
9.0000,0.9353,0.2264,0.2350,0.5523,0.2135,0.9633,0.1552,0.2061,0.5241,0.1689,0.2384,0.2919,0.2731,0.7538,0.7432,0.2243,0.2458,0.5048,0.2298,0.2298,0.2461,0.2418,0.6837
10.0000,0.9357,0.1717,0.2651,0.5523,0.2071,0.9791,0.1437,0.2076,0.5337,0.1553,0.2384,0.1313,0.1286,0.7776,0.7695,0.2242,0.2316,0.5309,0.2119,0.2298,0.2961,0.2870,0.7467
11.0000,0.9377,0.2593,0.2052,0.5471,0.1515,0.9950,0.1070,0.2000,0.5351,0.1394,0.2384,nan,nan,0.7918,0.7883,0.1685,0.2182,0.5337,0.1864,0.2298,0.3594,0.3495,0.7729
12.0000,0.9090,0.2578,0.3239,0.5697,0.2738,0.9256,0.2457,0.2569,0.5420,0.2384,0.2384,0.3340,0.3165,0.7484,0.7973,0.2345,0.2213,0.2944,0.1392,0.2298,0.1335,0.1289,0.7112
13.0000,0.9318,0.2775,0.2579,0.5734,0.2414,0.9391,0.1744,0.2242,0.5406,0.1959,0.2384,0.4427,0.4333,0.7852,0.8088,0.0727,0.2050,0.2476,0.1011,0.2298,0.2743,0.2629,0.7578
14.0000,0.8831,0.4160,0.4538,0.6328,0.4149,0.8868,0.4052,0.4112,0.6479,0.4075,0.4075,0.3523,0.3364,0.7329,0.8440,0.2766,0.3044,0.5420,0.2716,0.2716,0.2558,0.2479,0.6548
15.0000,0.9644,0.2448,0.3432,0.2990,0.2510,0.9497,0.2189,0.3211,0.2710,0.1845,0.4075,0.3493,0.3365,0.7963,0.7872,0.1204,0.3335,0.2847,0.1769,0.2716,0.3653,0.3553,0.7873
16.0000,0.9275,0.2998,0.4612,0.6318,0.3563,0.9043,0.3113,0.4481,0.6355,0.3628,0.4075,0.2671,0.2536,0.7727,0.8510,0.1264,0.3418,0.2971,0.1845,0.2716,0.4373,0.4269,0.7976
17.0000,0.8779,0.3897,0.4672,0.6469,0.3910,0.8565,0.4341,0.4341,0.6396,0.3640,0.4075,0.2810,0.2665,0.7637,0.8787,0.3840,0.4255,0.3315,0.3230,0.3230,0.3668,0.3538,0.7929
18.0000,0.8210,0.4897,0.3659,0.6751,0.3842,0.7843,0.4649,0.4007,0.6492,0.3988,0.4075,0.3312,0.3206,0.7540,0.8846,0.5217,0.5364,0.7166,0.5225,0.5225,0.5608,0.5461,0.7983
19.0000,0.8407,0.4219,0.5133,0.6384,0.4437,0.8185,0.4748,0.5394,0.6809,0.4945,0.4945,0.4071,0.3874,0.7923,0.8829,0.4489,0.5134,0.6644,0.4683,0.5225,0.4179,0.4011,0.7492
20.0000,0.8118,0.5102,0.4421,0.7053,0.4624,0.7913,0.5091,0.4683,0.7043,0.4633,0.4945,0.2027,0.1921,0.7428,0.8897,0.5581,0.5193,0.6946,0.5111,0.5225,0.6460,0.6322,0.7527
21.0000,0.8092,0.5007,0.4838,0.7312,0.4833,0.7913,0.4927,0.4423,0.6933,0.4499,0.4945,0.5066,0.4939,0.7852,0.8857,0.5518,0.5175,0.7276,0.5277,0.5277,0.5588,0.5459,0.8058
22.0000,0.8148,0.5244,0.5573,0.7495,0.5205,0.8070,0.5242,0.5489,0.7235,0.5256,0.5256,0.5074,0.4787,0.8194,0.9010,0.4841,0.4802,0.6795,0.4691,0.5277,0.5164,0.5023,0.7959
23.0000,0.8300,0.5052,0.4361,0.7246,0.4456,0.8196,0.5206,0.4651,0.7098,0.4414,0.5256,0.4103,0.3963,0.7740,0.8919,0.4751,0.4021,0.3961,0.3187,0.5277,0.3772,0.3687,0.6652
24.0000,0.8477,0.5003,0.4408,0.7029,0.4500,0.8440,0.4622,0.4052,0.6713,0.4187,0.5256,0.5146,0.4976,0.8004,0.8802,0.5245,0.4369,0.6878,0.4445,0.5277,0.5800,0.5611,0.8084
25.0000,0.8045,0.6199,0.5681,0.6996,0.5631,0.8000,0.4827,0.5057,0.6823,0.4719,0.5256,0.4412,0.4274,0.7555,0.8867,0.4964,0.5235,0.6754,0.4895,0.5277,0.3821,0.3687,0.7342
26.0000,0.8803,0.4680,0.5377,0.6328,0.4830,0.8768,0.5055,0.5613,0.6575,0.5197,0.5256,0.5463,0.5224,0.8086,0.8785,0.3843,0.4383,0.4209,0.3599,0.5277,0.4793,0.4684,0.7591
27.0000,0.7877,0.5394,0.4870,0.7552,0.5066,0.7781,0.4936,0.4734,0.7180,0.4727,0.5256,0.4581,0.4391,0.7843,0.8984,0.5326,0.4986,0.7208,0.4927,0.5277,0.4996,0.4836,0.7645
